strategy,ticker,buy_date,pnl_pct,runup_pct,bucket
A,6510,2022-11-28,17.81,25.581392958750232,2.10~50%
A,6223,2022-12-05,-10.12,68.38708683767533,3.50~100%
A,3587,2022-12-12,-2.11,46.87498540763707,2.10~50%
A,6515,2022-12-05,-15.68,60.333338785205,3.50~100%
A,8996,2022-12-26,-2.03,73.13435107162431,3.50~100%
A,2404,2022-12-19,-6.15,35.74007163770764,2.10~50%
A,3105,2023-01-09,6.69,58.604648530000226,3.50~100%
A,6415,2023-01-09,22.2,50.92201248820592,3.50~100%
A,6531,2023-02-06,-1.21,64.21403215466547,3.50~100%
A,2383,2023-02-13,-4.75,16.768294136499044,2.10~50%
A,4958,2023-02-13,1.6,9.7087501453271,1.0~10%
A,5269,2023-03-13,14.83,63.677114609208566,3.50~100%
A,5269,2023-03-20,-5.73,88.34079671849034,3.50~100%
A,2449,2023-03-13,0.96,37.01579539830196,2.10~50%
A,6669,2023-04-10,-5.41,72.7019719772561,3.50~100%
