ticker,buy_date,pnl_pct,is_grid_trial,streak_day,buy_year,bucket
3706,2023-01-30,3.34,0,2,2023,2.第2天
2324,2023-02-06,0.68,0,1,2023,1.第1天
2455,2023-02-13,2.7,0,0,2023,0.非同買日
3443,2023-02-20,17.88,0,0,2023,0.非同買日
6643,2023-02-20,1.6,0,0,2023,0.非同買日
5269,2023-02-20,4.21,0,1,2023,1.第1天
3037,2023-03-06,-5.62,0,3,2023,3.第3天
2382,2023-03-06,-0.72,0,1,2023,1.第1天
3324,2023-03-20,25.95,0,2,2023,2.第2天
3711,2023-03-20,-1.05,0,2,2023,2.第2天
3231,2023-03-27,-0.12,0,0,2023,0.非同買日
2421,2023-03-27,0.53,0,1,2023,1.第1天
6515,2023-04-10,-3.98,0,0,2023,0.非同買日
8299,2023-04-10,1.76,0,0,2023,0.非同買日
3533,2023-04-10,0.15,0,1,2023,1.第1天
3289,2023-04-17,-8.69,0,0,2023,0.非同買日
2395,2023-04-17,-5.36,0,0,2023,0.非同買日
2313,2023-05-08,-3.67,0,3,2023,3.第3天
2356,2023-05-08,-6.06,0,2,2023,2.第2天
3363,2023-05-15,21.1,0,1,2023,1.第1天
5269,2023-05-15,7.11,0,0,2023,0.非同買日
6282,2023-05-22,0.2,0,3,2023,3.第3天
2454,2023-05-22,4.05,0,2,2023,2.第2天
6643,2023-05-29,0.1,0,0,2023,0.非同買日
2421,2023-05-29,-1.83,0,0,2023,0.非同買日
3189,2023-06-05,-6.86,0,3,2023,3.第3天
2308,2023-06-05,4.54,0,1,2023,1.第1天
2303,2023-06-12,1.67,0,2,2023,2.第2天
3443,2023-06-19,-5.57,0,1,2023,1.第1天
2308,2023-06-19,-7.88,0,1,2023,1.第1天
6187,2023-06-19,-6.04,0,1,2023,1.第1天
3189,2023-07-03,-1.87,0,2,2023,2.第2天
8210,2023-07-03,-1.95,0,0,2023,0.非同買日
3583,2023-07-17,2.87,0,0,2023,0.非同買日
2376,2023-07-17,20.06,0,0,2023,0.非同買日
3583,2023-07-31,-18.92,0,1,2023,1.第1天
