期間,進場方式,股票代號,名稱,買進日,賣出日,買進價,賣出價,損益%,損益金額,持有天數,出場原因
全期間2021-2026,一次買完,8210,勤誠,2022-02-07,2022-02-18,79.39,77.25,-3.27,-17135.86,11,積分轉負
全期間2021-2026,一次買完,5269,祥碩,2022-02-14,2022-02-23,1613.37,1572.93,-3.09,-7341.88,9,積分轉負
全期間2021-2026,一次買完,8299,群聯,2022-02-14,2022-03-07,411.11,409.85,-0.9,-2627.88,21,觸發停損
全期間2021-2026,一次買完,2317,鴻海,2022-02-21,2022-02-23,87.85,87.02,-1.54,-2243.61,2,積分轉負
全期間2021-2026,一次買完,2353,宏碁,2022-02-21,2022-02-25,23.33,22.28,-5.05,-8415.18,4,積分轉負
全期間2021-2026,一次買完,2357,華碩,2022-02-21,2022-02-25,270.12,265.13,-2.44,-5066.21,4,積分轉負
全期間2021-2026,一次買完,2337,未知,2022-02-21,2022-03-08,39.07,36.31,-7.6,-8438.34,15,觸發停損
全期間2021-2026,一次買完,3005,未知,2022-03-07,2022-03-09,43.41,43.49,-0.42,-1435.9,2,積分轉負
全期間2021-2026,一次買完,8996,高力,2022-03-07,2022-03-11,52.73,61.16,15.29,40737.26,4,15%停利
全期間2021-2026,一次買完,3081,聯亞,2022-03-07,2022-03-15,161.93,152.58,-6.34,-25052.87,8,積分轉負
全期間2021-2026,一次買完,6669,緯穎,2022-03-14,2022-03-15,887.17,813.95,-8.8,-27353.43,1,觸發停損
全期間2021-2026,一次買完,6239,未知,2022-03-14,2022-03-16,75.52,73.2,-3.65,-9039.03,2,積分轉負
全期間2021-2026,一次買完,2455,全新,2022-03-14,2022-03-31,105.16,101.15,-4.39,-9282.12,17,積分轉負
全期間2021-2026,一次買完,6182,未知,2022-03-21,2022-03-25,68.79,64.52,-6.76,-7799.76,4,積分轉負
全期間2021-2026,一次買完,3532,未知,2022-03-21,2022-03-28,318.29,267.62,-16.42,-12828.56,7,觸發停損
全期間2021-2026,一次買完,2353,宏碁,2022-03-21,2022-04-01,23.44,22.94,-2.73,-4788.11,11,積分轉負
全期間2021-2026,一次買完,2303,聯電,2022-03-21,2022-04-06,40.99,39.15,-5.06,-8134.62,16,觸發停損
全期間2021-2026,一次買完,2458,未知,2022-03-21,2022-04-06,123.79,122.7,-1.48,-1125.23,16,積分轉負
全期間2021-2026,一次買完,2368,金像電,2022-03-21,2022-04-11,79.89,79.4,-1.21,-1366.43,21,積分轉負
全期間2021-2026,一次買完,4958,未知,2022-03-21,2022-05-10,90.57,86.39,-5.18,-8995.48,50,積分轉負
全期間2021-2026,一次買完,3653,健策,2022-03-28,2022-04-25,349.55,315.45,-10.3,-17794.46,28,觸發停損
全期間2021-2026,一次買完,6206,未知,2022-04-11,2022-04-26,57.77,57.24,-1.52,-3156.65,15,積分轉負
全期間2021-2026,一次買完,2412,未知,2022-04-11,2022-05-03,107.51,105.44,-2.51,-12675.92,22,觸發停損
全期間2021-2026,一次買完,3374,未知,2022-04-25,2022-05-05,126.2,123.9,-2.41,-3739.63,10,積分轉負
全期間2021-2026,一次買完,2317,鴻海,2022-05-09,2022-05-12,86.19,84.53,-2.51,-12028.83,3,積分轉負
